question_no,answer,user_id
1,1,U0001
2,2,U0001
3,-2,U0001
4,0,U0001
5,-1,U0001
6,0,U0001
7,-2,U0001
8,2,U0001
9,-1,U0001
10,1,U0001
1,2,U0002
2,0,U0002
3,2,U0002
4,-2,U0002
5,-1,U0002
6,-1,U0002
7,2,U0002
8,0,U0002
9,2,U0002
10,1,U0002
1,-1,U0003
2,2,U0003
3,0,U0003
4,2,U0003
5,0,U0003
6,2,U0003
7,-1,U0003
8,2,U0003
9,-1,U0003
10,2,U0003
1,1,U0004
2,1,U0004
3,-1,U0004
4,0,U0004
5,-1,U0004
6,0,U0004
7,-1,U0004
8,1,U0004
9,0,U0004
10,1,U0004
1,1,U0005
2,2,U0005
3,1,U0005
4,1,U0005
5,-1,U0005
6,0,U0005
7,0,U0005
8,2,U0005
9,0,U0005
10,2,U0005
1,1,U0006
2,1,U0006
3,0,U0006
4,0,U0006
5,1,U0006
6,1,U0006
7,0,U0006
8,1,U0006
9,0,U0006
10,1,U0006
1,1,U0007
2,1,U0007
3,1,U0007
4,-1,U0007
5,-1,U0007
6,0,U0007
7,-1,U0007
8,2,U0007
9,2,U0007
10,1,U0007
1,1,U0008
2,2,U0008
3,2,U0008
4,1,U0008
5,1,U0008
6,-1,U0008
7,0,U0008
8,1,U0008
9,2,U0008
10,0,U0008
1,1,U0009
2,1,U0009
3,-2,U0009
4,1,U0009
5,-1,U0009
6,2,U0009
7,0,U0009
8,2,U0009
9,-1,U0009
10,2,U0009
1,1,U0010
2,0,U0010
3,0,U0010
4,1,U0010
5,-1,U0010
6,1,U0010
7,-1,U0010
8,1,U0010
9,-1,U0010
10,1,U0010
1,1,U0011
2,0,U0011
3,0,U0011
4,0,U0011
5,1,U0011
6,1,U0011
7,0,U0011
8,1,U0011
9,0,U0011
10,1,U0011
1,0,U0012
2,1,U0012
3,0,U0012
4,-1,U0012
5,1,U0012
6,-1,U0012
7,1,U0012
8,1,U0012
9,1,U0012
10,2,U0012
1,1,U0013
2,1,U0013
3,2,U0013
4,0,U0013
5,0,U0013
6,-1,U0013
7,-1,U0013
8,-1,U0013
9,1,U0013
10,2,U0013
1,2,U0014
2,2,U0014
3,2,U0014
4,-1,U0014
5,1,U0014
6,-2,U0014
7,1,U0014
8,-2,U0014
9,1,U0014
10,-1,U0014
1,1,U0015
2,1,U0015
3,0,U0015
4,-1,U0015
5,0,U0015
6,1,U0015
7,0,U0015
8,1,U0015
9,1,U0015
10,1,U0015
1,2,U0016
2,0,U0016
3,2,U0016
4,1,U0016
5,-2,U0016
6,-1,U0016
7,-1,U0016
8,1,U0016
9,0,U0016
10,2,U0016
1,1,U0017
2,2,U0017
3,1,U0017
4,-1,U0017
5,-1,U0017
6,-1,U0017
7,0,U0017
8,1,U0017
9,2,U0017
10,1,U0017
1,0,U0018
2,1,U0018
3,1,U0018
4,-1,U0018
5,-1,U0018
6,-1,U0018
7,0,U0018
8,1,U0018
9,1,U0018
10,1,U0018
1,1,U0019
2,2,U0019
3,-2,U0019
4,1,U0019
5,-1,U0019
6,1,U0019
7,-1,U0019
8,1,U0019
9,-1,U0019
10,1,U0019
1,1,U0020
2,2,U0020
3,1,U0020
4,-1,U0020
5,-1,U0020
6,-1,U0020
7,1,U0020
8,1,U0020
9,-1,U0020
10,1,U0020
1,0,U0021
2,1,U0021
3,-1,U0021
4,1,U0021
5,0,U0021
6,1,U0021
7,-1,U0021
8,-1,U0021
9,-1,U0021
10,1,U0021
1,1,U0022
2,1,U0022
3,-1,U0022
4,0,U0022
5,-1,U0022
6,1,U0022
7,-1,U0022
8,2,U0022
9,-1,U0022
10,1,U0022
1,0,U0023
2,1,U0023
3,0,U0023
4,0,U0023
5,-2,U0023
6,1,U0023
7,-1,U0023
8,1,U0023
9,1,U0023
10,2,U0023
1,1,U0024
2,2,U0024
3,0,U0024
4,1,U0024
5,-2,U0024
6,1,U0024
7,0,U0024
8,1,U0024
9,-1,U0024
10,2,U0024
1,1,U0025
2,1,U0025
3,-1,U0025
4,1,U0025
5,-1,U0025
6,0,U0025
7,0,U0025
8,1,U0025
9,1,U0025
10,0,U0025
1,-2,U0026
2,2,U0026
3,-1,U0026
4,2,U0026
5,-1,U0026
6,2,U0026
7,-2,U0026
8,1,U0026
9,-1,U0026
10,2,U0026
1,1,U0027
2,1,U0027
3,-1,U0027
4,1,U0027
5,0,U0027
6,0,U0027
7,-1,U0027
8,1,U0027
9,1,U0027
10,1,U0027
1,1,U0028
2,1,U0028
3,-1,U0028
4,-1,U0028
5,-2,U0028
6,1,U0028
7,1,U0028
8,1,U0028
9,1,U0028
10,1,U0028
1,1,U0029
2,0,U0029
3,-1,U0029
4,0,U0029
5,-2,U0029
6,-1,U0029
7,-1,U0029
8,1,U0029
9,1,U0029
10,2,U0029
1,1,U0030
2,1,U0030
3,-1,U0030
4,1,U0030
5,1,U0030
6,1,U0030
7,0,U0030
8,1,U0030
9,0,U0030
10,1,U0030
1,1,U0031
2,1,U0031
3,-2,U0031
4,0,U0031
5,-1,U0031
6,-1,U0031
7,1,U0031
8,1,U0031
9,0,U0031
10,1,U0031
1,1,U0032
2,1,U0032
3,-1,U0032
4,1,U0032
5,-1,U0032
6,1,U0032
7,-1,U0032
8,1,U0032
9,-1,U0032
10,1,U0032
1,2,U0033
2,1,U0033
3,1,U0033
4,-1,U0033
5,-1,U0033
6,-1,U0033
7,1,U0033
8,1,U0033
9,1,U0033
10,2,U0033
1,-2,U0034
2,-2,U0034
3,-2,U0034
4,1,U0034
5,1,U0034
6,-1,U0034
7,1,U0034
8,2,U0034
9,-2,U0034
10,0,U0034
1,2,U0035
2,2,U0035
3,-2,U0035
4,1,U0035
5,-2,U0035
6,-2,U0035
7,-2,U0035
8,2,U0035
9,-1,U0035
10,-2,U0035
1,2,U0036
2,1,U0036
3,-2,U0036
4,0,U0036
5,-1,U0036
6,0,U0036
7,-2,U0036
8,1,U0036
9,0,U0036
10,1,U0036
1,1,U0037
2,1,U0037
3,-2,U0037
4,0,U0037
5,-2,U0037
6,0,U0037
7,-1,U0037
8,2,U0037
9,0,U0037
10,2,U0037
1,1,U0038
2,0,U0038
3,1,U0038
4,1,U0038
5,0,U0038
6,-1,U0038
7,0,U0038
8,1,U0038
9,-1,U0038
10,1,U0038
1,1,U0039
2,-1,U0039
3,0,U0039
4,0,U0039
5,-2,U0039
6,-1,U0039
7,-1,U0039
8,1,U0039
9,1,U0039
10,2,U0039
1,1,U0040
2,1,U0040
3,-1,U0040
4,0,U0040
5,-2,U0040
6,0,U0040
7,-1,U0040
8,1,U0040
9,0,U0040
10,1,U0040
1,1,U0041
2,1,U0041
3,-2,U0041
4,2,U0041
5,-1,U0041
6,0,U0041
7,-1,U0041
8,1,U0041
9,-1,U0041
10,1,U0041
1,1,U0042
2,-1,U0042
3,-1,U0042
4,1,U0042
5,1,U0042
6,1,U0042
7,-1,U0042
8,1,U0042
9,-1,U0042
10,1,U0042
1,1,U0043
2,0,U0043
3,0,U0043
4,2,U0043
5,-1,U0043
6,0,U0043
7,-1,U0043
8,1,U0043
9,0,U0043
10,1,U0043
1,1,U0044
2,2,U0044
3,0,U0044
4,2,U0044
5,2,U0044
6,2,U0044
7,0,U0044
8,2,U0044
9,-2,U0044
10,2,U0044
1,2,U0045
2,2,U0045
3,1,U0045
4,0,U0045
5,-2,U0045
6,0,U0045
7,1,U0045
8,2,U0045
9,-2,U0045
10,1,U0045
1,1,U0046
2,1,U0046
3,1,U0046
4,-2,U0046
5,-1,U0046
6,0,U0046
7,-1,U0046
8,2,U0046
9,2,U0046
10,1,U0046
1,0,U0047
2,0,U0047
3,1,U0047
4,-1,U0047
5,-2,U0047
6,0,U0047
7,0,U0047
8,2,U0047
9,1,U0047
10,2,U0047
1,-2,U0048
2,2,U0048
3,-2,U0048
4,2,U0048
5,-2,U0048
6,2,U0048
7,2,U0048
8,2,U0048
9,-1,U0048
10,2,U0048
1,-1,U0049
2,1,U0049
3,1,U0049
4,1,U0049
5,-1,U0049
6,1,U0049
7,0,U0049
8,1,U0049
9,-1,U0049
10,1,U0049
1,-1,U0050
2,2,U0050
3,-1,U0050
4,1,U0050
5,-1,U0050
6,2,U0050
7,-1,U0050
8,1,U0050
9,-1,U0050
10,1,U0050
1,1,U0051
2,1,U0051
3,1,U0051
4,0,U0051
5,1,U0051
6,1,U0051
7,2,U0051
8,0,U0051
9,-1,U0051
10,1,U0051
1,-1,U0052
2,1,U0052
3,0,U0052
4,1,U0052
5,-1,U0052
6,2,U0052
7,0,U0052
8,0,U0052
9,-1,U0052
10,1,U0052
1,-1,U0053
2,2,U0053
3,-1,U0053
4,1,U0053
5,-2,U0053
6,2,U0053
7,-1,U0053
8,1,U0053
9,-1,U0053
10,1,U0053
1,1,U0054
2,0,U0054
3,0,U0054
4,-1,U0054
5,-1,U0054
6,0,U0054
7,1,U0054
8,0,U0054
9,2,U0054
10,1,U0054
1,1,U0055
2,0,U0055
3,2,U0055
4,0,U0055
5,-1,U0055
6,0,U0055
7,1,U0055
8,2,U0055
9,1,U0055
10,2,U0055
1,1,U0056
2,2,U0056
3,1,U0056
4,1,U0056
5,1,U0056
6,1,U0056
7,0,U0056
8,1,U0056
9,0,U0056
10,1,U0056
1,0,U0057
2,1,U0057
3,0,U0057
4,-1,U0057
5,-2,U0057
6,1,U0057
7,-1,U0057
8,1,U0057
9,1,U0057
10,2,U0057
1,1,U0058
2,-1,U0058
3,-1,U0058
4,-1,U0058
5,-1,U0058
6,1,U0058
7,1,U0058
8,1,U0058
9,1,U0058
10,1,U0058
1,1,U0059
2,-1,U0059
3,2,U0059
4,-1,U0059
5,-1,U0059
6,-1,U0059
7,1,U0059
8,1,U0059
9,2,U0059
10,1,U0059
1,1,U0060
2,1,U0060
3,-1,U0060
4,2,U0060
5,-1,U0060
6,1,U0060
7,-1,U0060
8,1,U0060
9,-1,U0060
10,1,U0060
1,-2,U0061
2,2,U0061
3,-1,U0061
4,1,U0061
5,1,U0061
6,2,U0061
7,-1,U0061
8,2,U0061
9,0,U0061
10,2,U0061
1,-1,U0062
2,1,U0062
3,-1,U0062
4,1,U0062
5,0,U0062
6,1,U0062
7,-1,U0062
8,1,U0062
9,-1,U0062
10,1,U0062
1,1,U0063
2,1,U0063
3,0,U0063
4,1,U0063
5,0,U0063
6,0,U0063
7,0,U0063
8,1,U0063
9,1,U0063
10,1,U0063
1,1,U0064
2,0,U0064
3,-2,U0064
4,-1,U0064
5,1,U0064
6,0,U0064
7,-1,U0064
8,2,U0064
9,1,U0064
10,0,U0064
1,1,U0065
2,1,U0065
3,1,U0065
4,0,U0065
5,-2,U0065
6,0,U0065
7,-2,U0065
8,1,U0065
9,1,U0065
10,2,U0065
1,1,U0066
2,1,U0066
3,1,U0066
4,2,U0066
5,-1,U0066
6,0,U0066
7,-1,U0066
8,1,U0066
9,0,U0066
10,-1,U0066
1,2,U0067
2,2,U0067
3,-2,U0067
4,2,U0067
5,2,U0067
6,2,U0067
7,-2,U0067
8,2,U0067
9,2,U0067
10,2,U0067
1,1,U0068
2,1,U0068
3,0,U0068
4,-1,U0068
5,-2,U0068
6,-1,U0068
7,1,U0068
8,1,U0068
9,2,U0068
10,1,U0068
1,1,U0069
2,-1,U0069
3,0,U0069
4,0,U0069
5,1,U0069
6,-1,U0069
7,1,U0069
8,1,U0069
9,1,U0069
10,-1,U0069
1,0,U0070
2,-1,U0070
3,-2,U0070
4,0,U0070
5,-1,U0070
6,-1,U0070
7,1,U0070
8,1,U0070
9,-1,U0070
10,1,U0070
1,1,U0071
2,-1,U0071
3,-2,U0071
4,0,U0071
5,-1,U0071
6,1,U0071
7,-1,U0071
8,2,U0071
9,0,U0071
10,2,U0071
1,1,U0072
2,1,U0072
3,-2,U0072
4,0,U0072
5,0,U0072
6,0,U0072
7,-1,U0072
8,2,U0072
9,1,U0072
10,2,U0072
1,0,U0073
2,1,U0073
3,0,U0073
4,0,U0073
5,1,U0073
6,1,U0073
7,-1,U0073
8,1,U0073
9,0,U0073
10,1,U0073
1,1,U0074
2,2,U0074
3,0,U0074
4,0,U0074
5,-1,U0074
6,-1,U0074
7,0,U0074
8,2,U0074
9,1,U0074
10,1,U0074
1,1,U0075
2,1,U0075
3,0,U0075
4,1,U0075
5,0,U0075
6,1,U0075
7,1,U0075
8,-1,U0075
9,1,U0075
10,1,U0075
1,2,U0076
2,1,U0076
3,0,U0076
4,-1,U0076
5,-1,U0076
6,0,U0076
7,0,U0076
8,1,U0076
9,2,U0076
10,1,U0076
1,2,U0077
2,1,U0077
3,1,U0077
4,-1,U0077
5,1,U0077
6,-1,U0077
7,-1,U0077
8,1,U0077
9,2,U0077
10,1,U0077
1,1,U0078
2,-1,U0078
3,1,U0078
4,-1,U0078
5,-2,U0078
6,-1,U0078
7,1,U0078
8,2,U0078
9,2,U0078
10,2,U0078
1,1,U0079
2,1,U0079
3,1,U0079
4,-1,U0079
5,-1,U0079
6,-1,U0079
7,1,U0079
8,1,U0079
9,1,U0079
10,-1,U0079
1,-1,U0080
2,1,U0080
3,2,U0080
4,-1,U0080
5,0,U0080
6,0,U0080
7,1,U0080
8,0,U0080
9,1,U0080
10,2,U0080
1,1,U0081
2,0,U0081
3,0,U0081
4,-1,U0081
5,0,U0081
6,0,U0081
7,0,U0081
8,1,U0081
9,1,U0081
10,-1,U0081
1,0,U0082
2,1,U0082
3,-1,U0082
4,1,U0082
5,0,U0082
6,1,U0082
7,0,U0082
8,1,U0082
9,-1,U0082
10,2,U0082
1,0,U0083
2,-1,U0083
3,-1,U0083
4,0,U0083
5,0,U0083
6,0,U0083
7,1,U0083
8,1,U0083
9,1,U0083
10,1,U0083
1,1,U0084
2,1,U0084
3,-1,U0084
4,1,U0084
5,0,U0084
6,1,U0084
7,-1,U0084
8,2,U0084
9,-1,U0084
10,2,U0084
1,-1,U0085
2,2,U0085
3,1,U0085
4,2,U0085
5,2,U0085
6,1,U0085
7,0,U0085
8,0,U0085
9,2,U0085
10,0,U0085
1,1,U0086
2,1,U0086
3,-1,U0086
4,1,U0086
5,-1,U0086
6,1,U0086
7,-1,U0086
8,1,U0086
9,1,U0086
10,1,U0086
1,-2,U0087
2,2,U0087
3,-1,U0087
4,1,U0087
5,1,U0087
6,2,U0087
7,0,U0087
8,1,U0087
9,-1,U0087
10,1,U0087
1,1,U0088
2,-1,U0088
