,fave1,fave2,fave3,fave4,fave5,user_id,fave6,fave7,fave8,fave9,fave10
0,my cats,my cats,movie we are in,tv show we are in,movie we are in,U0001,,,,,
1,kirby videogames,beagle cute,friedzucchini,brownies chocolate peanutbutter,monet art impression postimpressionism,U0002,,,,,
2,Bucks,Meme,Marshall Kings,Joke,TMNT,U0003,,,,,
3,Lego,Flowers Nature Photography,Travelling Castles Architecture,Pets Cats,Baseball Yankees,U0004,,,,,
4,Space,Cyberpunk and cities of future,Golden autumn and cats,Mist,Decayed cities and buildings,U0005,,,,,
5,White Tiger,Rose,Nightlife,My car,Love,U0006,,,,,
6,"anatomy, heart, nursing, health","band, friends","friends, teaching","teaching, kids, friends","boyfriend, love",U0007,,,,,
7,Cats,Tiger,Bunnies,Nuts,Duck,U0008,,,,,
8,family,boyfriend,bestfriend,holiday,quality time,U0009,,,,,
9,elephant,cheerleaders,football sports,fall sweaters clothing,school,U0010,,,,,
10,,,3,,,U0011,,,,,
11,"love, romance, couple, relationship","horse, wild, powerful,","chocolate, treat, indulgence, enjoyment","nature, peaceful, natural","ownership, control, trust",U0012,,,,,
12,"calculator, TI","laptop, HP, Probook","phone, Sony, Xperia, Z1","city, Slovenj Gradec, town, hilly","car, Renault, Clio, hatchback",U0013,,,,,
13,tennis racket,tennis ball,nature hiking,family brother,driving car,U0014,,,,,
14,Rolex Men Class Style,Yeezy Kanye West Adidas Sneakers Style,Golf Life Sport Gentlemen Peaceful,Suzy Pretty Cute Sexy Crush Korean Kpop Idol,Korean Food BBQ Hungry Meat,U0015,,,,,
15,darth_vader star_wars,programming code C computing computer_science logic,monkey_island gaming computers pirates adventure_game,chopin music piano,diorama medieval castle creativity,U0016,,,,,
16,bunny animal fuzzy cute,pumpkin jackolantern halloween,pie food fruit sweet,trees forrest calm green,winter snow ice,U0017,,,,,
17,"minimalist, fashion, black, white","art, installation, nolstagia","pretty, roses, whimsical, cake","beautiful, model, clean, simple, top, white, blue, stripe","art, print, pink, interesting",U0018,,,,,
18,trips to the beach,watching sunsets,going flying and watching air shows,Christmas lights,watching wildlife,U0019,,,,,
19,raisins,disquette,pinces,porc-épic,trompette,U0020,,,,,
20,"travel, california, ocean, vacation","chicago, summer nights, music, picnics, city life","cooking, creativity, relationships, food","running, endurance, outdoors, races, trail running","italy, countryside, travel, family, vacation, wine, food",U0021,,,,,
21,"Dog, friend, loyal","Cute, puppy,","Chocolate, love, happines","Hobby, bohemian","Traveling, wanderlust",U0022,,,,,
22,Books Reading Literature,Musicals Theatre Performing Arts,Science Fiction Cinema Movies,LGBT Culture Gay Queer History,The Beatles Music 1960s Culture,U0023,,,,,
