,user_id,Most_read_books
0,U0001,Mystery
1,U0002,Romance
2,U0002, Mystery
3,U0002, Science fiction
4,U0002, Science
5,U0003,Biographies
6,U0004,Science fiction
7,U0004, Satire
8,U0004, Trilogies
9,U0004, Series
10,U0005,Science fiction
11,U0005, Action and Adventure
12,U0005, Mystery
13,U0005, Horror
14,U0005, Travel
15,U0005, Science
16,U0005, Journals
17,U0005, Fantasy
18,U0006,Romance
19,U0007,Trilogies
20,U0007, Science fiction
21,U0008,Mystery
22,U0008, Horror
23,U0008, Cookbooks
24,U0009,Drama
25,U0009, Mystery
26,U0010,Mystery
27,U0010, Horror
28,U0011,Romance
29,U0012,Action and Adventure
30,U0012, Fantasy
31,U0012, Erotic fiction
32,U0012, Science
33,U0012, Cookbooks
34,U0013,Satire
35,U0013, Biographies
36,U0014,Action and Adventure
37,U0014, Mystery
38,U0014, Religious
39,U0014, Science
40,U0015,Mystery
41,U0015, Guide
42,U0015, Comics
43,U0015, Fantasy
44,U0016,Action and Adventure
45,U0016, Mystery
46,U0016, Science
47,U0016, Math
48,U0016, Cookbooks
49,U0016, Fantasy
50,U0016, Children's literature
51,U0017,Action and Adventure
52,U0017, Mystery
53,U0017, Horror
54,U0017, Science
55,U0017, Comics
56,U0017, Cookbooks
57,U0017, Fantasy
58,U0018,Religious
59,U0019,Self help
60,U0019, Guide
61,U0019, Religious
62,U0019, Action and Adventure
63,U0020,Erotic fiction
64,U0020, Satire
65,U0020, Prayer books
66,U0021,Satire
67,U0021, Drama
68,U0021, Action and Adventure
69,U0021, Mystery
70,U0021, Children's literature
71,U0021, Religious
72,U0022,Drama
73,U0023,Science fiction
74,U0023, Horror
75,U0023, Drama
76,U0023, Diaries
77,U0024,Science fiction
78,U0024, Satire
79,U0024, Drama
80,U0024, Action and Adventure
81,U0024, Mystery
82,U0024, Travel
83,U0024, Religious
84,U0024, Prayer books
85,U0024, Trilogies
86,U0025,Romance
87,U0025, Guide
88,U0025, Travel
89,U0025, Religious
90,U0026,Fantasy
91,U0026, Children's literature
92,U0026, Science
93,U0027,Science
94,U0028,Mystery
95,U0028, Biographies
96,U0028, Children's
97,U0028, Action and Adventure
98,U0029,Romance
99,U0030,Science fiction
100,U0030, Action and Adventure
101,U0030, Fantasy
102,U0030, Series
103,U0031,Science fiction
104,U0031, Action and Adventure
105,U0031, Series
106,U0031, Erotic fiction
107,U0032,Romance
108,U0032, Self help
109,U0032, Poetry
110,U0032, Cookbooks
111,U0032, Guide
112,U0033,Action and Adventure
113,U0034,Drama
114,U0035,Drama
115,U0035, Action and Adventure
116,U0036,History
117,U0036, Diaries
118,U0037,Poetry
119,U0037, Guide
120,U0038,Science fiction
121,U0038, Mystery
122,U0038, History
123,U0038, Erotic fiction
124,U0039,Action and Adventure
125,U0039, Horror
126,U0039, Science fiction
127,U0039, Fantasy
128,U0040,Action and Adventure
129,U0041,Science fiction
130,U0041, Mystery
131,U0041, Biographies
132,U0041, Erotic fiction
133,U0042,Romance
134,U0043,Science fiction
135,U0043, Satire
136,U0043, Science
137,U0043, Comics
138,U0043, Fantasy
139,U0044,Religious
140,U0044, Mystery
141,U0044, Self help
142,U0044, Journals
143,U0044, Prayer books
144,U0044, Biographies
145,U0044, Autobiographies
146,U0044, History
147,U0044, Travel
148,U0045,Science fiction
149,U0045, Drama
150,U0045, Mystery
151,U0046,Satire
152,U0046, Drama
153,U0046, Action and Adventure
154,U0046, Self help
155,U0046, Journals
156,U0046, Fantasy
157,U0046, Autobiographies
158,U0047,Autobiographies
159,U0047, Mystery
160,U0047, Horror
161,U0047, Self help
162,U0047, Drama
163,U0047, Biographies
164,U0048,Drama
165,U0049,Satire
166,U0049, Drama
167,U0049, Action and Adventure
168,U0049, Romance
169,U0049, Mystery
170,U0049, Horror
171,U0049, Self help
172,U0049, Children's
173,U0049, Children's literature
174,U0049, Poetry
175,U0049, Cookbooks
176,U0049, Trilogies
177,U0049, Erotic fiction
178,U0049, Fantasy
179,U0050,Science fiction
180,U0050, Drama
181,U0050, Romance
182,U0051,Self help
183,U0051, Guide
184,U0051, Action and Adventure
185,U0051, Fantasy
186,U0052,Erotic fiction
187,U0052, Romance
188,U0053,Science fiction
189,U0053, Action and Adventure
190,U0053, Mystery
191,U0053, Guide
192,U0053, Science
193,U0053, Poetry
194,U0053, Biographies
195,U0054,Science
196,U0055,Science fiction
197,U0055, Mystery
198,U0055, Horror
199,U0056,Self help
200,U0056, Guide
201,U0056, Science
202,U0056, History
203,U0056, Biographies
204,U0056, Autobiographies
205,U0057,Horror
206,U0057, Satire
207,U0057, Science fiction
208,U0057, Autobiographies
209,U0058,Satire
210,U0058, Self help
211,U0058, Biographies
212,U0059,Action and Adventure
213,U0059, Science
214,U0059, Fantasy
215,U0060,Action and Adventure
216,U0061,Science fiction
217,U0061, Satire
218,U0061, Action and Adventure
219,U0061, Romance
220,U0061, Travel
221,U0061, Religious
222,U0061, Science
223,U0061, Comics
224,U0061, Guide
225,U0062,Action and Adventure
226,U0063,Biographies
227,U0064,Action and Adventure
228,U0064, Romance
229,U0064, Series
