user_id,most_watched_movies
U0001,Action
U0001, Thriller
U0001, Drama
U0001, Comedy
U0001, Mystery
U0002,Drama
U0003,Comedy
U0003, Documentary
U0004,Comedy
U0004, Action
U0004, Drama
U0004, Animation
U0004, Musical
U0004, Family
U0004, Sci-Fi
U0004, Adventure
U0005,Sci-Fi
U0005, Adventure
U0005, Thriller
U0005, Action
U0005, Crime and Gangster
U0005, Epic - Historical
U0005, Animation
U0005, Mystery
U0005, Documentary
U0005, Fantasy
U0005, Horror
U0006,Adventure
U0007,Horror
U0007, Comedy
U0008,Comedy
U0008, Horror
U0009,Comedy
U0009, Adventure
U0010,Horror
U0010, Comedy
U0011,Thriller
U0012,Thriller
U0012, Epic - Historical
U0012, Sci-Fi
U0012, Fantasy
U0012, Animation
U0013,Thriller
U0013, Comedy
U0013, Crime and Gangster
U0014,Documentary
U0015,Action
U0015, Adventure
U0015, Thriller
U0015, Comedy
U0015, Drama
U0015, Animation
U0016,Action
U0016, Adventure
U0016, Comedy
U0016, Sci-Fi
U0017,Thriller
U0017, Comedy
U0017, Horror
U0017, Sci-Fi
U0017, Animation
U0017, Fantasy
U0018,Documentary
U0018, Romance
U0018, Thriller
U0019,Western
U0019, Sci-Fi
U0019, Epic - Historical
U0019, Mystery
U0019, Family
U0019, Documentary
U0020,Adventure
U0020, Action
U0020, Comedy
U0020, Family
U0020, Fantasy
U0020, Mystery
U0021,Action
U0021, Adventure
U0021, Comedy
U0021, Crime and Gangster
U0022,Thriller
U0023,Sci-Fi
U0023, Comedy
U0023, Horror
U0023, Crime and Gangster
U0023, Drama
U0023, Adventure
U0023, Action
U0023, Western
U0023, Musical
U0024,Action
U0024, Adventure
U0024, Comedy
U0024, Drama
U0024, Sci-Fi
U0024, Epic - Historical
U0024, Mystery
U0024, Family
U0025,Adventure
U0025, Comedy
U0025, Drama
U0025, Family
U0025, Romance
U0026,Fantasy
U0026, Drama
U0027,Comedy
U0028,Action
U0028, Family
U0028, Romance
U0028, Sci-Fi
U0028, Animation
U0029,Sci-Fi
U0030,Action
U0030, Adventure
U0030, Fantasy
U0030, Family
U0030, Animation
U0030, Horror
U0031,Adventure
U0031, Drama
U0032,Action
U0032, Thriller
U0032, Crime and Gangster
U0032, Drama
U0032, Horror
U0032, Sci-Fi
U0032, Biography
U0032, Mystery
U0032, Documentary
U0032, Adventure
U0032, Comedy
U0033,Thriller
U0034,Crime and Gangster
U0035,Family
U0035, Animation
U0036,Family
U0037,Biography
U0038,Comedy
U0038, Mystery
U0039,Horror
U0039, Sci-Fi
U0039, Fantasy
U0039, Action
U0039, Adventure
U0040,Adventure
U0041,Adventure
U0041, Comedy
U0041, Sci-Fi
U0041, Documentary
U0041, Erotic
U0042,Comedy
U0043,Action
U0043, Adventure
U0043, Thriller
U0043, Comedy
U0043, Sci-Fi
U0043, Animation
U0043, Fantasy
U0043, Musical
U0044,Action
U0044, Adventure
U0044, Comedy
U0044, Fantasy
U0044, Musical
U0044, Biography
U0044, Sport
U0044, Documentary
U0045,Action
U0046,Adventure
U0046, Comedy
U0046, Drama
U0046, Biography
U0046, Documentary
U0046, Musical
U0047,Documentary
U0047, Comedy
U0047, Drama
U0047, Sci-Fi
U0048,Action
U0048, Comedy
U0048, Horror
U0049,Comedy
U0049, Drama
U0049, Epic - Historical
U0049, Romance
U0049, Animation
U0049, Family
U0050,Adventure
U0050, Drama
U0050, Documentary
U0051,Thriller
U0051, Sci-Fi
U0051, Action
U0051, Comedy
U0052,Adventure
U0052, Action
U0052, Thriller
U0052, Comedy
U0052, Romance
U0053,Action
U0053, Comedy
U0053, Crime and Gangster
U0053, Biography
U0053, Musical
U0053, Documentary
U0054,Comedy
U0054, Sci-Fi
U0055,Action
U0055, Thriller
U0055, Comedy
U0055, Horror
U0055, Sci-Fi
U0055, Fantasy
U0055, Documentary
U0056,Action
U0056, Adventure
U0056, Thriller
U0056, Comedy
U0056, Crime and Gangster
U0056, Drama
U0056, Epic - Historical
U0056, War
U0056, Biography
U0056, Family
U0056, Mystery
U0056, Documentary
U0056, Erotic
U0057,Sci-Fi
U0057, Adventure
U0057, Crime and Gangster
U0057, Drama
U0057, Musical
U0057, Documentary
U0058,Comedy
U0058, Drama
U0058, Documentary
U0059,Comedy
U0059, Thriller
U0059, Animation
U0059, Documentary
U0060,Action
U0061,Action
U0061, Comedy
U0061, Sci-Fi
U0061, Family
U0061, Romance
U0061, Musical
U0061, Sport
U0062,Action
U0062, Comedy
U0062, Horror
U0063,Comedy
U0063, Action
