,user_id,Most_listened_musics
0,U0001,Classical Music
1,U0001, Easy Listening
2,U0001, Jazz
3,U0002,Dance Music
4,U0002, Electronic Music
5,U0002, Indie Pop
6,U0002, Pop (Popular music)
7,U0002, Rock
8,U0003,Hip Hop - Rap
9,U0003, Dance Music
10,U0003, Electronic Music
11,U0003, Rock
12,U0004,Alternative Music
13,U0004, Pop (Popular music)
14,U0004, Rock
15,U0005,Electronic Music
16,U0005, Asian Pop (J-Pop or K-pop)
17,U0005, Rock
18,U0006,Easy Listening
19,U0006, Dance Music
20,U0007,Rock
21,U0007, Pop (Popular music)
22,U0008,Hip Hop - Rap
23,U0008, Rock
24,U0008, Dance Music
25,U0009,Hip Hop - Rap
26,U0010,Rock
27,U0011,Dance Music
28,U0012,Rock
29,U0013,Rock
30,U0013, Electronic Music
31,U0014,Asian Pop (J-Pop or K-pop)
32,U0015,Hip Hop - Rap
33,U0015, Asian Pop (J-Pop or K-pop)
34,U0016,Classical Music
35,U0016, Rock
36,U0016, Pop (Popular music)
37,U0017,Dance Music
38,U0017, Easy Listening
39,U0017, Indie Pop
40,U0017, Asian Pop (J-Pop or K-pop)
41,U0017, Pop (Popular music)
42,U0017, Rock
43,U0018,Singer - Songwriter (inc. Folk)
44,U0018, European Music (Folk-Pop)
45,U0018, Asian Pop (J-Pop or K-pop)
46,U0019,Country Music
47,U0019, Easy Listening
48,U0019, Singer - Songwriter (inc. Folk)
49,U0020,Asian Pop (J-Pop or K-pop)
50,U0020, European Music (Folk-Pop)
51,U0020, Pop (Popular music)
52,U0020, Indie Pop
53,U0020, Hip Hop - Rap
54,U0021,Alternative Music
55,U0021, Country Music
56,U0021, European Music (Folk-Pop)
57,U0021, Pop (Popular music)
58,U0021, Latin Music
59,U0021, Indie Pop
60,U0021, Easy Listening
61,U0021, Blues
62,U0022,Dance Music
63,U0023,Pop (Popular music)
64,U0023, Classical Music
65,U0023, Rock
66,U0023, R&amp;B - Soul
67,U0024,Rock
68,U0024, Classical Music
69,U0024, Pop (Popular music)
70,U0024, Singer - Songwriter (inc. Folk)
71,U0025,Dance Music
72,U0025, Alternative Music
73,U0025, Easy Listening
74,U0025, Pop (Popular music)
75,U0025, Rock
76,U0025, Inspirational (incl. Gospel)
77,U0026,Pop (Popular music)
78,U0027,Classical Music
79,U0028,Hip Hop - Rap
80,U0028, Rock
81,U0028, Pop (Popular music)
82,U0029,Alternative Music
83,U0030,World Music - Beats
84,U0030, Easy Listening
85,U0030, Rock
86,U0031,Classical Music
87,U0031, Electronic Music
88,U0031, Rock
89,U0031, Reggae
90,U0031, New Age
91,U0031, Pop (Popular music)
92,U0031, R&amp;B - Soul
93,U0032,Jazz
94,U0032, R&amp;B - Soul
95,U0032, Inspirational (incl. Gospel)
96,U0033,Country Music
97,U0034,European Music (Folk-Pop)
98,U0035,Electronic Music
99,U0036,R&amp;B - Soul
100,U0037,Dance Music
101,U0038,Electronic Music
102,U0038, Hip Hop - Rap
103,U0038, Reggae
104,U0039,Dance Music
105,U0039, Asian Pop (J-Pop or K-pop)
106,U0040,Rock
107,U0041,Classical Music
108,U0041, European Music (Folk-Pop)
109,U0041, New Age
110,U0042,Country Music
111,U0043,Alternative Music
112,U0043, Electronic Music
113,U0043, Indie Pop
114,U0043, Hip Hop - Rap
115,U0043, Pop (Popular music)
116,U0043, Rock
117,U0044,Hip Hop - Rap
118,U0044, Dance Music
119,U0044, Electronic Music
120,U0044, R&amp;B - Soul
121,U0044, Rock
122,U0044, Reggae
123,U0045,Hip Hop - Rap
124,U0046,Alternative Music
125,U0046, Pop (Popular music)
126,U0046, Rock
127,U0047,Rock
128,U0047, Alternative Music
129,U0047, Jazz
130,U0048,Country Music
131,U0048, Dance Music
132,U0048, Electronic Music
133,U0048, Hip Hop - Rap
134,U0049,Country Music
135,U0049, Rock
136,U0050,Jazz
137,U0050, R&amp;B - Soul
138,U0050, Rock
139,U0051,Alternative Music
140,U0051, Electronic Music
141,U0051, Hip Hop - Rap
142,U0052,Electronic Music
143,U0052, Indie Pop
144,U0052, Pop (Popular music)
145,U0052, Dance Music
146,U0053,Dance Music
147,U0053, Electronic Music
148,U0053, Hip Hop - Rap
149,U0053, R&amp;B - Soul
150,U0053, Reggae
151,U0053, Rock
152,U0054,Indie Pop
