,user_id,Most_watched_tv_programmes
0,U0001,Comedy
1,U0001, Drama
2,U0002,Drama
3,U0003,Sport
4,U0003, News
5,U0004,Comedy
6,U0004, Drama
7,U0005,Learning
8,U0005, Weather
9,U0006,Entertainment (Variety Shows)
10,U0007,Comedy
11,U0008,Comedy
12,U0009,Comedy
13,U0009, Drama
14,U0009, Music
15,U0010,Comedy
16,U0011,Entertainment (Variety Shows)
17,U0012,Comedy
18,U0012, Drama
19,U0013,Drama
20,U0014,News
21,U0015,Drama
22,U0015, Comedy
23,U0015, Entertainment (Variety Shows)
24,U0015, Sport
25,U0016,Comedy
26,U0016, News
27,U0016, Drama
28,U0017,Children's
29,U0017, Comedy
30,U0017, News
31,U0017, Learning
32,U0018,Drama
33,U0018, Entertainment (Variety Shows)
34,U0019,Factual
35,U0019, Religion &amp; Ethics
36,U0019, News
37,U0019, Learning
38,U0020,Comedy
39,U0020, Entertainment (Variety Shows)
40,U0020, Learning
41,U0020, Drama
42,U0020, Factual
43,U0020, News
44,U0021,Drama
45,U0021, Comedy
46,U0021, Entertainment (Variety Shows)
47,U0021, Sport
48,U0022,Drama
49,U0023,Comedy
50,U0023, Factual
51,U0023, Drama
52,U0024,Comedy
53,U0024, Drama
54,U0025,Children's
55,U0025, Comedy
56,U0025, Drama
57,U0025, Learning
58,U0026,Drama
59,U0026, Children's
60,U0027,Sport
61,U0028,Comedy
62,U0028, Drama
63,U0028, Music
64,U0029,Comedy
65,U0030,News
66,U0030, Sport
67,U0030, Learning
68,U0030, Music
69,U0031,Comedy
70,U0031, Drama
71,U0032,Drama
72,U0032, Factual
73,U0032, Learning
74,U0032, Music
75,U0032, News
76,U0032, Weather
77,U0033,Comedy
78,U0034,Religion &amp; Ethics
79,U0035,Comedy
80,U0035, Drama
81,U0036,Factual
82,U0037,Learning
83,U0038,Comedy
84,U0038, Children's
85,U0039,Entertainment (Variety Shows)
86,U0040,Comedy
87,U0041,Comedy
88,U0041, News
89,U0041, Factual
90,U0041, Drama
91,U0042,Drama
92,U0043,Children's
93,U0043, Comedy
94,U0043, Drama
95,U0043, Factual
96,U0043, Learning
97,U0043, News
98,U0043, Weather
99,U0044,Entertainment (Variety Shows)
100,U0044, Music
101,U0044, Learning
102,U0044, Sport
103,U0044, Weather
104,U0045,Drama
105,U0045, Entertainment (Variety Shows)
106,U0045, Comedy
107,U0046,Comedy
108,U0046, Drama
109,U0046, Learning
110,U0046, Sport
111,U0047,Drama
112,U0047, Comedy
113,U0047, Factual
114,U0047, News
115,U0048,Comedy
116,U0048, Entertainment (Variety Shows)
117,U0049,Comedy
118,U0049, Factual
119,U0049, Weather
120,U0050,Comedy
121,U0050, Drama
122,U0050, Learning
123,U0050, News
124,U0051,Entertainment (Variety Shows)
125,U0051, Learning
126,U0052,Comedy
127,U0052, Drama
128,U0052, Entertainment (Variety Shows)
129,U0052, Sport
130,U0053,Comedy
131,U0053, Factual
132,U0053, Learning
133,U0053, Music
134,U0054,Comedy
135,U0055,Comedy
136,U0055, Drama
137,U0055, News
138,U0056,Comedy
139,U0056, Factual
140,U0056, News
141,U0056, Sport
142,U0057,Drama
143,U0057, Comedy
144,U0057, Factual
145,U0057, News
146,U0058,Entertainment (Variety Shows)
147,U0058, Comedy
148,U0058, Drama
149,U0059,Comedy
150,U0059, Drama
151,U0059, Music
152,U0060,Drama
153,U0061,Comedy
154,U0061, Entertainment (Variety Shows)
155,U0061, Factual
156,U0061, Music
157,U0061, News
158,U0061, Religion &amp; Ethics
159,U0061, Sport
160,U0062,Comedy
161,U0062, Entertainment (Variety Shows)
162,U0062, News
163,U0063,Sport
164,U0063, Comedy
165,U0064,Comedy
166,U0064, Entertainment (Variety Shows)
167,U0064, News
168,U0065,Factual
169,U0066,Factual
170,U0066, Music
171,U0067,Comedy
172,U0067, Drama
173,U0067, Learning
174,U0067, News
175,U0067, Sport
176,U0068,Comedy
177,U0068, Drama
178,U0068, Factual
179,U0068, Learning
180,U0068, News
181,U0069,Children's
182,U0069, Drama
183,U0070,Drama
184,U0070, Factual
185,U0070, Weather
186,U0071,Comedy
187,U0072,Drama
188,U0072, Factual
189,U0072, Learning
190,U0072, News
191,U0072, Weather
192,U0072, Comedy
193,U0073,Comedy
194,U0073, Entertainment (Variety Shows)
195,U0073, Sport
196,U0074,Children's
197,U0075,Comedy
198,U0075, Drama
199,U0075, Entertainment (Variety Shows)
200,U0076,Drama
201,U0076, Comedy
202,U0076, Sport
203,U0077,Drama
204,U0078,Comedy
205,U0078, Drama
206,U0078, Entertainment (Variety Shows)
207,U0078, Music
208,U0079,Comedy
209,U0079, Entertainment (Variety Shows)
210,U0080,Factual
211,U0080, Entertainment (Variety Shows)
212,U0081,Children's
213,U0081, Factual
214,U0081, Drama
215,U0082,Comedy
216,U0082, Entertainment (Variety Shows)
217,U0082, Music
218,U0082, Religion &amp; Ethics
219,U0082, News
220,U0083,News
221,U0083, Drama
222,U0084,Comedy
223,U0084, Drama
224,U0084, Factual
225,U0084, Entertainment (Variety Shows)
226,U0084, News
227,U0084, Music
228,U0085,Comedy
229,U0085, Music
230,U0085, Drama
231,U0086,Drama
232,U0087,Comedy
233,U0087, Drama
234,U0087, Entertainment (Variety Shows)
235,U0087, Music
236,U0087, Sport
237,U0088,Comedy
238,U0088, Drama
239,U0088, Factual
240,U0088, News
241,U0089,Comedy
242,U0089, Children's
243,U0089, Factual
244,U0089, Entertainment (Variety Shows)
245,U0089, News
246,U0089, Sport
247,U0090,Comedy
248,U0091,Comedy
249,U0091, Learning
250,U0092,Comedy
251,U0093,Drama
252,U0093, Entertainment (Variety Shows)
253,U0093, Factual
254,U0093, Learning
255,U0093, Music
256,U0093, Comedy
257,U0093, News
258,U0094,Factual
259,U0095,Children's
260,U0095, Comedy
261,U0095, Music
262,U0096,Comedy
263,U0096, Drama
264,U0096, Factual
265,U0097,Comedy
266,U0097, Drama
267,U0097, Factual
268,U0097, Learning
269,U0098,Comedy
270,U0098, Factual
271,U0098, Entertainment (Variety Shows)
272,U0099,Comedy
273,U0099, Entertainment (Variety Shows)
274,U0099, Music
275,U0100,Comedy
276,U0100, Drama
277,U0100, Entertainment (Variety Shows)
278,U0101,News
279,U0102,Drama
280,U0102, Comedy
281,U0103,Learning
282,U0104,Comedy
283,U0104, Entertainment (Variety Shows)
284,U0104, Learning
285,U0105,Comedy
286,U0105, Factual
287,U0105, Drama
288,U0106,Drama
289,U0106, Comedy
290,U0107,Comedy
291,U0107, Drama
292,U0107, Factual
293,U0107, Learning
294,U0107, News
295,U0108,Comedy
296,U0108, Drama
297,U0109,Comedy
298,U0109, Drama
299,U0109, Learning
300,U0110,Children's
301,U0110, Drama
302,U0110, Comedy
303,U0111,Learning
304,U0111, Religion &amp; Ethics
305,U0111, Comedy
306,U0112,Comedy
307,U0113,Comedy
308,U0114,Comedy
309,U0114, Drama
310,U0115,Children's
311,U0115, Drama
312,U0116,Drama
313,U0116, Children's
314,U0117,Comedy
315,U0117, Drama
316,U0117, Entertainment (Variety Shows)
317,U0117, Factual
318,U0117, News
319,U0118,Comedy
