user_id,most_visited_websites
U0001,"Media (Books, DVD, CD/DVD Music) sites"
U0001, Grocery &amp; beverages sites
U0001, Pet supplies sites
U0002,Toys &amp; games sites
U0002, Console &amp; video games sites
U0003,Sports &amp; outdoor sites
U0003," Media (Books, DVD, CD/DVD Music) sites"
U0004,Stationery &amp; office supplies sites
U0004, Clothing &amp; shoes sites
U0004, Health &amp; Beauty sites
U0004, Home stuffs sites
U0005,Consumer electronics sites
U0005, Clothing &amp; shoes sites
U0005, Outdoor Living sites
U0005, Home stuffs sites
U0005, Jewellery &amp; watches sites
U0005, Computer software sites
U0005, Sports &amp; outdoor sites
U0006,Clothing &amp; shoes sites
U0007,"Media (Books, DVD, CD/DVD Music) sites"
U0008,Console &amp; video games sites
U0008, Clothing &amp; shoes sites
U0008, Toys &amp; games sites
U0009,Clothing &amp; shoes sites
U0010,Clothing &amp; shoes sites
U0010, Health &amp; Beauty sites
U0010, Jewellery &amp; watches sites
U0011,"Media (Books, DVD, CD/DVD Music) sites"
U0012,Grocery &amp; beverages sites
U0012, Clothing &amp; shoes sites
U0012, Health &amp; Beauty sites
U0013,Computer software sites
U0013, Automotive sites
U0014,Sports &amp; outdoor sites
U0015,Clothing &amp; shoes sites
U0015, Console &amp; video games sites
U0015, Health &amp; Beauty sites
U0016,Tools &amp; hardware sites
U0016, Consumer electronics sites
U0016, Clothing &amp; shoes sites
U0016, Grocery &amp; beverages sites
U0016, Toys &amp; games sites
U0017,Grocery &amp; beverages sites
U0017, Jewellery &amp; watches sites
U0017, Stationery &amp; office supplies sites
U0017, Toys &amp; games sites
U0018,"Media (Books, DVD, CD/DVD Music) sites"
U0018, Health &amp; Beauty sites
U0019,"Media (Books, DVD, CD/DVD Music) sites"
U0019, Tools &amp; hardware sites
U0019, Computer software sites
U0020,Clothing &amp; shoes sites
U0020, Health &amp; Beauty sites
U0020, Consumer electronics sites
U0020, Grocery &amp; beverages sites
U0020, Home stuffs sites
U0021,Clothing &amp; shoes sites
U0021, Health &amp; Beauty sites
U0021," Media (Books, DVD, CD/DVD Music) sites"
U0021, Grocery &amp; beverages sites
U0021, Sports &amp; outdoor sites
U0021, Home stuffs sites
U0022,Clothing &amp; shoes sites
U0023,"Media (Books, DVD, CD/DVD Music) sites"
U0023, Dating sites
U0024,Musical instruments &amp; recording equipment sites
U0025,Health &amp; Beauty sites
U0026,"Media (Books, DVD, CD/DVD Music) sites"
U0027,Computer software sites
U0028,Toys &amp; games sites
U0028," Media (Books, DVD, CD/DVD Music) sites"
U0028, Consumer electronics sites
U0029,Console &amp; video games sites
U0030,Toys &amp; games sites
U0030, Clothing &amp; shoes sites
U0030, Tools &amp; hardware sites
U0031,Clothing &amp; shoes sites
U0031," Media (Books, DVD, CD/DVD Music) sites"
U0032,Clothing &amp; shoes sites
U0032, Health &amp; Beauty sites
U0032, Outdoor Living sites
U0032, Automotive sites
U0032, Consumer electronics sites
U0032, Grocery &amp; beverages sites
U0032, Home stuffs sites
U0032, Jewellery &amp; watches sites
U0032, Sports &amp; outdoor sites
U0032, Console &amp; video games sites
U0033,Console &amp; video games sites
U0034,Console &amp; video games sites
U0035,Sports &amp; outdoor sites
U0035," Media (Books, DVD, CD/DVD Music) sites"
U0036,Outdoor Living sites
U0037,Console &amp; video games sites
U0037, Musical instruments &amp; recording equipment sites
U0038,Console &amp; video games sites
U0038," Media (Books, DVD, CD/DVD Music) sites"
U0039,Outdoor Living sites
U0039, Console &amp; video games sites
U0040,Consumer electronics sites
U0041,Tools &amp; hardware sites
U0041, Outdoor Living sites
U0041, Pet supplies sites
U0041, Automotive sites
U0042,Betting sites
U0043,Consumer electronics sites
U0043," Media (Books, DVD, CD/DVD Music) sites"
U0043, Console &amp; video games sites
U0043, Computer software sites
U0043, Toys &amp; games sites
U0043, Sports &amp; outdoor sites
U0044,Tools &amp; hardware sites
U0044, Clothing &amp; shoes sites
U0044," Media (Books, DVD, CD/DVD Music) sites"
U0045,Clothing &amp; shoes sites
U0045," Media (Books, DVD, CD/DVD Music) sites"
U0045, Home stuffs sites
U0046,Health &amp; Beauty sites
U0046, Stationery &amp; office supplies sites
U0046, Pet supplies sites
U0047,Clothing &amp; shoes sites
U0047, Health &amp; Beauty sites
U0047," Media (Books, DVD, CD/DVD Music) sites"
U0048,Clothing &amp; shoes sites
U0048, Health &amp; Beauty sites
U0048, Consumer electronics sites
U0049,Clothing &amp; shoes sites
U0049, Console &amp; video games sites
U0049, Computer software sites
U0049," Media (Books, DVD, CD/DVD Music) sites"
U0049, Home stuffs sites
U0050,Clothing &amp; shoes sites
U0050, Health &amp; Beauty sites
U0050," Media (Books, DVD, CD/DVD Music) sites"
U0050, Home stuffs sites
U0050, Dating sites
U0050, Jewellery &amp; watches sites
U0051,Tools &amp; hardware sites
U0051, Consumer electronics sites
U0052,Consumer electronics sites
U0053,Clothing &amp; shoes sites
U0053, Betting sites
U0053, Jewellery &amp; watches sites
U0054,Health &amp; Beauty sites
U0055,Health &amp; Beauty sites
U0055, Jewellery &amp; watches sites
U0055, Clothing &amp; shoes sites
U0055, Pet supplies sites
U0056,Health &amp; Beauty sites
U0056, Consumer electronics sites
U0056, Dating sites
U0056, Clothing &amp; shoes sites
U0056, Sports &amp; outdoor sites
U0057,"Media (Books, DVD, CD/DVD Music) sites"
U0057, Dating sites
U0058,Health &amp; Beauty sites
U0058," Media (Books, DVD, CD/DVD Music) sites"
U0058, Dating sites
U0059,Console &amp; video games sites
U0059, Clothing &amp; shoes sites
U0059, Health &amp; Beauty sites
U0059, Home stuffs sites
U0059, Toys &amp; games sites
U0060,Computer software sites
U0061,Clothing &amp; shoes sites
U0061, Automotive sites
U0061, Health &amp; Beauty sites
U0061," Media (Books, DVD, CD/DVD Music) sites"
U0061, Consumer electronics sites
U0061, Tools &amp; hardware sites
U0061, Console &amp; video games sites
U0062,Health &amp; Beauty sites
U0062, Clothing &amp; shoes sites
U0062, Computer software sites
U0063,Sports &amp; outdoor sites
U0064,Clothing &amp; shoes sites
U0064, Health &amp; Beauty sites
U0065,"Media (Books, DVD, CD/DVD Music) sites"
U0066,"Media (Books, DVD, CD/DVD Music) sites"
U0066, Health &amp; Beauty sites
U0066, Dating sites
U0067,Computer software sites
U0067, Health &amp; Beauty sites
U0067, Stationery &amp; office supplies sites
U0067, Baby products sites
U0067, Home stuffs sites
U0067, Clothing &amp; shoes sites
U0068,"Media (Books, DVD, CD/DVD Music) sites"
U0068, Health &amp; Beauty sites
U0068, Clothing &amp; shoes sites
U0069,Health &amp; Beauty sites
U0070,Pet supplies sites
U0070, Outdoor Living sites
U0070, Computer software sites
U0070, Consumer electronics sites
U0070, Health &amp; Beauty sites
U0071,Baby products sites
U0072,"Media (Books, DVD, CD/DVD Music) sites"
U0072, Outdoor Living sites
U0072, Console &amp; video games sites
U0072, Home stuffs sites
U0072, Stationery &amp; office supplies sites
U0073,Sports &amp; outdoor sites
U0073, Jewellery &amp; watches sites
U0073, Clothing &amp; shoes sites
U0074,Consumer electronics sites
U0075,Clothing &amp; shoes sites
U0075, Baby products sites
U0075," Media (Books, DVD, CD/DVD Music) sites"
U0075, Consumer electronics sites
U0075, Home stuffs sites
U0075, Betting sites
U0075, Dating sites
U0075, Stationery &amp; office supplies sites
U0076,Grocery &amp; beverages sites
U0076," Media (Books, DVD, CD/DVD Music) sites"
U0076, Pet supplies sites
U0076, Sports &amp; outdoor sites
U0077,Health &amp; Beauty sites
U0078,Health &amp; Beauty sites
U0078," Media (Books, DVD, CD/DVD Music) sites"
U0078, Console &amp; video games sites
U0078, Musical instruments &amp; recording equipment sites
U0078, Stationery &amp; office supplies sites
U0079,Console &amp; video games sites
U0079, Betting sites
U0079, Computer software sites
U0080,Console &amp; video games sites
U0080, Betting sites
U0081,Console &amp; video games sites
U0081, Betting sites
U0081, Toys &amp; games sites
U0082,Clothing &amp; shoes sites
U0082, Automotive sites
U0082, Health &amp; Beauty sites
U0082, Consumer electronics sites
U0083,Health &amp; Beauty sites
U0083, Jewellery &amp; watches sites
U0083, Stationery &amp; office supplies sites
U0084,Baby products sites
U0084, Health &amp; Beauty sites
U0084, Consumer electronics sites
U0084, Console &amp; video games sites
U0084, Home stuffs sites
U0084, Grocery &amp; beverages sites
U0084, Betting sites
U0084, Jewellery &amp; watches sites
U0085,Health &amp; Beauty sites
U0085, Console &amp; video games sites
U0086,Console &amp; video games sites
U0087,Clothing &amp; shoes sites
U0087, Health &amp; Beauty sites
U0087, Tools &amp; hardware sites
U0087, Outdoor Living sites
U0087, Grocery &amp; beverages sites
U0087, Jewellery &amp; watches sites
U0087, Sports &amp; outdoor sites
U0087, Pet supplies sites
U0087, Toys &amp; games sites
U0088,Outdoor Living sites
U0088, Grocery &amp; beverages sites
U0088, Console &amp; video games sites
U0088," Media (Books, DVD, CD/DVD Music) sites"
U0089,Sports &amp; outdoor sites
U0089, Console &amp; video games sites
U0089, Tools &amp; hardware sites
U0089, Betting sites
U0090,Console &amp; video games sites
U0090," Media (Books, DVD, CD/DVD Music) sites"
U0091,Clothing &amp; shoes sites
U0091, Health &amp; Beauty sites
U0091, Outdoor Living sites
U0092,"Media (Books, DVD, CD/DVD Music) sites"
U0093,Sports &amp; outdoor sites
U0093, Health &amp; Beauty sites
U0093," Media (Books, DVD, CD/DVD Music) sites"
U0093, Consumer electronics sites
U0093, Outdoor Living sites
U0093, Grocery &amp; beverages sites
U0093, Jewellery &amp; watches sites
U0093, Betting sites
U0093, Pet supplies sites
U0093, Musical instruments &amp; recording equipment sites
U0093, Toys &amp; games sites
U0094,Clothing &amp; shoes sites
U0095,Clothing &amp; shoes sites
U0095, Jewellery &amp; watches sites
U0095, Computer software sites
U0096,"Media (Books, DVD, CD/DVD Music) sites"
U0096, Pet supplies sites
U0097,Clothing &amp; shoes sites
U0098,Clothing &amp; shoes sites
U0098, Home stuffs sites
U0099,Consumer electronics sites
U0099, Automotive sites
U0099, Tools &amp; hardware sites
U0099, Computer software sites
U0100,Console &amp; video games sites
U0100, Computer software sites
U0100, Dating sites
U0100, Toys &amp; games sites
U0101,Dating sites
U0102,"Media (Books, DVD, CD/DVD Music) sites"
U0102, Clothing &amp; shoes sites
U0102, Health &amp; Beauty sites
U0102, Grocery &amp; beverages sites
U0103,Sports &amp; outdoor sites
U0103, Musical instruments &amp; recording equipment sites
U0104,Pet supplies sites
U0104, Clothing &amp; shoes sites
U0104, Jewellery &amp; watches sites
U0105,Clothing &amp; shoes sites
U0105," Media (Books, DVD, CD/DVD Music) sites"
U0105, Health &amp; Beauty sites
U0106,Health &amp; Beauty sites
U0106," Media (Books, DVD, CD/DVD Music) sites"
U0106, Clothing &amp; shoes sites
U0107,Computer software sites
U0107," Media (Books, DVD, CD/DVD Music) sites"
U0107, Consumer electronics sites
U0107, Grocery &amp; beverages sites
U0108,Clothing &amp; shoes sites
U0108, Health &amp; Beauty sites
U0109,Outdoor Living sites
U0109, Health &amp; Beauty sites
U0109, Stationery &amp; office supplies sites
U0109, Pet supplies sites
U0110,Clothing &amp; shoes sites
U0110, Health &amp; Beauty sites
U0110, Baby products sites
U0110, Outdoor Living sites
U0110, Console &amp; video games sites
U0111,Pet supplies sites
U0111, Jewellery &amp; watches sites
U0111, Health &amp; Beauty sites
U0111, Computer software sites
U0112,"Media (Books, DVD, CD/DVD Music) sites"
U0113,Clothing &amp; shoes sites
U0114,Clothing &amp; shoes sites
U0114, Health &amp; Beauty sites
U0114," Media (Books, DVD, CD/DVD Music) sites"
U0115,Clothing &amp; shoes sites
U0115, Health &amp; Beauty sites
U0115, Console &amp; video games sites
U0116,Clothing &amp; shoes sites
U0116, Baby products sites
U0116, Home stuffs sites
U0117,Health &amp; Beauty sites
U0117, Home stuffs sites
U0117, Automotive sites
U0117, Consumer electronics sites
U0117, Tools &amp; hardware sites
U0118,"Media (Books, DVD, CD/DVD Music) sites"
U0118, Health &amp; Beauty sites
U0119,Clothing &amp; shoes sites
U0119, Health &amp; Beauty sites
U0119, Grocery &amp; beverages sites
U0120,Consumer electronics sites
