user_id,category,question_no_,value
U0001,Automotive,0,1
U0001,Automotive,1,1
U0001,Automotive,2,1
U0001,Automotive,3,1
U0001,Automotive,4,1
U0001,Automotive,5,1
U0001,Automotive,6,1
U0001,Automotive,7,1
U0001,Automotive,8,1
U0001,Automotive,9,1
U0001,Automotive,10,1
U0001,Automotive,11,1
U0001,Automotive,12,1
U0001,Automotive,13,1
U0001,Automotive,14,1
U0001,Baby Products,0,2
U0001,Baby Products,1,1
U0001,Baby Products,2,1
U0001,Baby Products,3,1
U0001,Baby Products,4,3
U0001,Baby Products,5,1
U0001,Baby Products,6,1
U0001,Baby Products,7,1
U0001,Baby Products,8,1
U0001,Baby Products,9,1
U0001,Baby Products,10,1
U0001,Baby Products,11,1
U0001,Baby Products,12,1
U0001,Baby Products,13,1
U0001,Baby Products,14,1
U0001,Betting,0,1
U0001,Betting,1,1
U0001,Betting,2,1
U0001,Betting,3,1
U0001,Betting,4,1
U0001,Betting,5,1
U0001,Betting,6,1
U0001,Betting,7,1
U0001,Betting,8,1
U0001,Betting,9,1
U0001,Betting,10,1
U0001,Betting,11,1
U0001,Betting,12,1
U0001,Betting,13,1
U0001,Betting,14,1
U0001,Clothing & Shoes,0,1
U0001,Clothing & Shoes,1,1
U0001,Clothing & Shoes,2,1
U0001,Clothing & Shoes,3,1
U0001,Clothing & Shoes,4,1
U0001,Clothing & Shoes,5,3
U0001,Clothing & Shoes,6,1
U0001,Clothing & Shoes,7,1
U0001,Clothing & Shoes,8,1
U0001,Clothing & Shoes,9,1
U0001,Clothing & Shoes,10,1
U0001,Clothing & Shoes,11,1
U0001,Clothing & Shoes,12,1
U0001,Clothing & Shoes,13,1
U0001,Clothing & Shoes,14,1
U0001,Computer Software,0,1
U0001,Computer Software,1,1
U0001,Computer Software,2,1
U0001,Computer Software,3,1
U0001,Computer Software,4,1
U0001,Computer Software,5,1
U0001,Computer Software,6,1
U0001,Computer Software,7,1
U0001,Computer Software,8,1
U0001,Computer Software,9,1
U0001,Computer Software,10,1
U0001,Computer Software,11,2
U0001,Computer Software,12,1
U0001,Computer Software,13,1
U0001,Computer Software,14,1
U0001,Console & Video Games,0,1
U0001,Console & Video Games,1,1
U0001,Console & Video Games,2,1
U0001,Console & Video Games,3,1
U0001,Console & Video Games,4,1
U0001,Console & Video Games,5,1
U0001,Console & Video Games,6,1
U0001,Console & Video Games,7,1
U0001,Console & Video Games,8,1
U0001,Console & Video Games,9,1
U0001,Console & Video Games,10,1
U0001,Console & Video Games,11,1
U0001,Console & Video Games,12,1
U0001,Console & Video Games,13,1
U0001,Console & Video Games,14,1
U0001,Consumer Electronics,0,1
U0001,Consumer Electronics,1,2
U0001,Consumer Electronics,2,1
U0001,Consumer Electronics,3,1
U0001,Consumer Electronics,4,1
U0001,Consumer Electronics,5,3
U0001,Consumer Electronics,6,1
U0001,Consumer Electronics,7,1
U0001,Consumer Electronics,8,1
U0001,Consumer Electronics,9,1
U0001,Consumer Electronics,10,1
U0001,Consumer Electronics,11,1
U0001,Consumer Electronics,12,1
U0001,Consumer Electronics,13,1
U0001,Consumer Electronics,14,3
U0001,DIY & Tools,0,1
U0001,DIY & Tools,1,1
U0001,DIY & Tools,2,2
U0001,DIY & Tools,3,1
U0001,DIY & Tools,4,1
U0001,DIY & Tools,5,1
U0001,DIY & Tools,6,1
U0001,DIY & Tools,7,1
U0001,DIY & Tools,8,1
U0001,DIY & Tools,9,1
U0001,DIY & Tools,10,1
U0001,DIY & Tools,11,1
U0001,DIY & Tools,12,1
U0001,DIY & Tools,13,1
U0001,DIY & Tools,14,1
U0001,Dating Sites,0,1
U0001,Dating Sites,1,1
U0001,Dating Sites,2,1
U0001,Dating Sites,3,1
U0001,Dating Sites,4,1
U0001,Dating Sites,5,1
U0001,Dating Sites,6,1
U0001,Dating Sites,7,1
U0001,Dating Sites,8,1
U0001,Dating Sites,9,1
U0001,Dating Sites,10,1
U0001,Dating Sites,11,1
U0001,Dating Sites,12,1
U0001,Dating Sites,13,1
U0001,Dating Sites,14,1
U0001,Garden & Outdoor living,0,1
U0001,Garden & Outdoor living,1,2
U0001,Garden & Outdoor living,2,1
U0001,Garden & Outdoor living,3,2
U0001,Garden & Outdoor living,4,1
U0001,Garden & Outdoor living,5,1
U0001,Garden & Outdoor living,6,1
U0001,Garden & Outdoor living,7,3
U0001,Garden & Outdoor living,8,1
U0001,Garden & Outdoor living,9,1
U0001,Garden & Outdoor living,10,3
U0001,Garden & Outdoor living,11,1
U0001,Garden & Outdoor living,12,1
U0001,Garden & Outdoor living,13,1
U0001,Garden & Outdoor living,14,1
U0001,Grocery,0,1
U0001,Grocery,1,1
U0001,Grocery,2,2
U0001,Grocery,3,1
U0001,Grocery,4,1
U0001,Grocery,5,1
U0001,Grocery,6,1
U0001,Grocery,7,1
U0001,Grocery,8,1
U0001,Grocery,9,1
U0001,Grocery,10,1
U0001,Grocery,11,2
U0001,Grocery,12,2
U0001,Grocery,13,1
U0001,Grocery,14,2
U0001,Health & Beauty,0,1
U0001,Health & Beauty,1,1
U0001,Health & Beauty,2,1
U0001,Health & Beauty,3,3
U0001,Health & Beauty,4,1
U0001,Health & Beauty,5,1
U0001,Health & Beauty,6,1
U0001,Health & Beauty,7,1
U0001,Health & Beauty,8,1
U0001,Health & Beauty,9,1
U0001,Health & Beauty,10,1
U0001,Health & Beauty,11,2
U0001,Health & Beauty,12,2
U0001,Health & Beauty,13,2
U0001,Health & Beauty,14,1
U0001,Jewellery & Watches,0,1
U0001,Jewellery & Watches,1,3
U0001,Jewellery & Watches,2,1
U0001,Jewellery & Watches,3,2
U0001,Jewellery & Watches,4,1
U0001,Jewellery & Watches,5,1
U0001,Jewellery & Watches,6,1
