uid,payment_method,plan_price,auto_renew,transaction_date
0,38,149,0,2016-05-27
0,38,149,0,2016-07-20
0,38,149,0,2015-11-24
0,38,149,0,2015-03-28
0,38,149,0,2016-04-25
0,38,149,0,2016-03-06
0,38,149,0,2016-09-04
0,38,149,0,2015-12-30
0,38,149,0,2016-12-08
0,38,149,0,2015-02-26
0,38,0,0,2015-04-28
0,38,149,0,2015-08-01
0,38,149,0,2017-01-15
0,38,149,0,2015-05-28
0,38,149,0,2016-01-31
0,38,149,0,2015-07-01
1,34,149,1,2016-02-29
1,34,149,1,2016-11-30
1,34,149,1,2016-09-30
1,34,0,1,2015-06-30
1,34,0,1,2015-03-31
1,34,149,1,2017-01-31
1,34,0,1,2015-07-31
1,34,149,1,2016-06-30
1,34,149,1,2016-04-30
1,34,149,1,2016-08-31
1,34,149,1,2015-11-30
1,34,149,1,2016-12-31
1,34,0,1,2015-09-30
1,34,149,1,2017-02-28
1,34,149,1,2016-10-31
1,34,0,1,2015-10-31
1,34,149,1,2016-03-31
1,34,149,1,2016-07-31
1,34,149,1,2016-05-31
1,34,149,1,2015-12-31
1,34,0,1,2015-08-31
1,34,149,1,2016-01-31
2,39,149,1,2015-07-31
2,39,149,1,2015-09-30
2,39,149,1,2015-05-31
2,39,149,1,2016-12-31
2,39,149,1,2016-11-30
2,39,149,1,2017-01-25
2,39,149,1,2016-09-30
2,39,149,1,2016-08-31
2,39,149,1,2015-06-30
2,39,149,1,2016-10-31
2,39,149,1,2015-08-31
2,39,149,1,2016-07-31
2,39,149,1,2016-01-31
2,39,149,1,2015-03-31
2,39,149,1,2015-01-31
2,39,149,1,2015-12-02
2,39,149,1,2015-11-02
2,39,0,1,2015-04-30
2,39,149,1,2015-02-28
3,38,149,0,2016-11-23
3,38,149,0,2015-12-15
3,38,149,0,2015-04-11
3,35,0,0,2016-11-23
3,38,149,0,2015-05-18
3,38,149,0,2015-06-23
3,38,149,0,2015-09-02
3,38,149,0,2016-01-21
3,38,149,0,2015-10-07
3,38,149,0,2017-01-02
3,38,149,0,2015-03-18
3,38,149,0,2016-02-23
3,38,149,0,2015-02-07
3,38,149,0,2016-05-03
3,38,149,0,2015-11-14
3,38,149,0,2016-07-23
3,38,149,0,2016-06-11
3,38,149,0,2015-07-29
3,38,149,0,2016-03-29
4,38,894,0,2015-12-26
4,36,180,1,2016-07-10
4,38,894,0,2016-08-15
4,36,180,1,2016-08-11
5,36,180,1,2016-09-27
5,38,894,0,2015-12-13
5,38,149,0,2015-09-14
5,36,180,1,2016-08-27
5,38,894,0,2015-02-24
5,36,180,0,2016-11-12
5,36,180,1,2016-07-27
5,36,180,0,2017-01-07
5,36,180,1,2016-06-26
6,41,149,1,2016-07-12
6,41,149,1,2016-12-12
6,41,149,1,2016-10-12
6,41,149,1,2016-04-12
6,41,149,1,2015-04-12
6,41,149,1,2017-01-12
6,41,149,1,2015-11-12
6,41,149,1,2015-03-12
6,41,149,1,2015-06-12
6,41,149,1,2016-05-12
6,41,149,1,2015-09-12
6,41,149,1,2017-02-06
6,41,149,1,2015-12-12
6,41,149,1,2016-02-12
6,41,149,1,2016-08-12
6,41,149,1,2016-09-12
6,41,149,1,2015-02-12
6,41,149,1,2015-01-12
6,41,149,1,2015-08-12
6,41,149,1,2015-10-12
6,41,149,1,2016-01-12
6,41,149,1,2015-07-12
6,41,149,1,2016-11-12
6,41,149,1,2016-03-12
6,41,0,1,2015-05-12
6,41,149,1,2016-06-12
7,39,149,1,2015-07-31
7,39,149,1,2015-05-31
7,39,149,1,2016-11-30
7,39,149,1,2016-12-31
7,39,149,1,2016-08-31
7,39,0,1,2015-04-30
7,39,149,1,2016-09-30
7,39,149,1,2017-01-31
7,39,149,1,2017-02-15
7,39,149,1,2015-01-31
7,39,149,1,2015-11-02
7,39,149,1,2016-07-31
7,39,149,1,2015-09-30
7,39,149,1,2016-01-31
7,39,149,1,2015-02-28
7,39,149,1,2015-12-02
7,39,149,1,2015-03-31
7,39,149,1,2016-10-31
7,39,149,1,2015-08-31
7,39,149,1,2015-06-30
8,38,149,0,2017-02-23
8,38,149,0,2017-01-23
9,22,1788,0,2015-12-25
10,37,149,1,2016-10-03
10,37,149,1,2016-07-03
10,37,149,1,2017-02-03
10,35,0,0,2016-06-27
10,37,149,1,2016-09-03
10,37,149,1,2016-12-03
10,37,149,1,2016-11-03
10,37,149,1,2017-01-03
10,37,149,1,2016-08-03
11,38,149,0,2017-01-08
12,29,180,0,2017-01-15
13,38,149,0,2016-04-25
13,38,149,0,2016-06-03
13,38,149,0,2016-09-30
13,38,149,0,2016-07-05
13,38,149,0,2016-03-25
13,38,149,0,2016-08-25
13,38,149,0,2016-11-02
13,38,149,0,2017-02-07
13,38,149,0,2017-01-06
13,38,149,0,2016-12-06
14,38,894,0,2016-07-21
15,41,99,1,2016-11-20
15,41,99,1,2017-02-20
15,41,99,1,2017-01-20
15,41,99,1,2016-12-20
15,41,99,1,2016-10-21
16,29,180,1,2016-12-11
16,29,180,1,2017-02-11
16,29,180,1,2017-01-11
17,33,149,1,2016-08-31
17,33,149,1,2017-02-03
17,33,149,1,2015-11-30
17,33,149,1,2016-03-31
17,33,0,1,2015-08-31
17,33,149,1,2016-05-31
17,33,149,1,2016-04-30
17,33,149,1,2016-02-29
17,33,149,1,2016-11-30
17,33,149,1,2016-01-31
17,33,149,1,2016-09-30
17,33,149,1,2016-07-31
17,33,0,1,2015-10-31
17,33,149,1,2016-10-31
17,33,149,1,2016-12-31
17,33,149,1,2015-12-31
17,33,0,1,2015-03-31
17,33,0,1,2015-09-30
17,33,149,1,2016-06-30
17,33,0,1,2015-06-30
17,33,0,1,2015-07-31
17,33,149,1,2017-01-31
18,36,180,0,2016-10-09
18,36,150,0,2016-03-25
18,36,180,0,2016-07-29
18,22,1788,0,2015-01-12
18,36,180,0,2017-01-20
18,36,180,0,2016-04-30
18,36,180,0,2016-06-02
18,36,180,0,2016-12-21
18,36,180,0,2016-09-01
19,41,129,1,2015-12-03
19,41,129,1,2016-06-02
19,41,149,1,2015-10-02
19,41,129,1,2016-09-02
19,41,149,1,2015-04-02
19,41,149,1,2015-02-02
19,41,149,1,2015-08-02
19,41,149,1,2015-01-02
19,41,149,1,2015-09-02
19,41,149,1,2016-12-02
19,41,149,1,2015-02-02
19,41,129,1,2016-11-02
19,41,149,1,2016-12-12
19,41,149,1,2015-01-02
19,41,149,1,2015-04-02
19,41,149,1,2015-12-02
19,41,129,1,2016-03-02
19,41,149,1,2015-03-02
19,41,149,1,2015-12-02
19,41,149,1,2015-07-02
19,41,129,1,2016-01-02
19,41,129,1,2016-08-02
19,41,149,1,2015-06-02
19,41,149,1,2015-08-02
19,41,129,1,2016-02-02
19,41,129,1,2016-10-02
19,41,149,1,2015-06-02
19,41,149,1,2015-11-02
19,41,149,1,2015-12-03
19,41,149,1,2015-07-02
19,41,0,1,2015-05-02
19,41,129,1,2016-05-02
19,41,149,1,2015-10-02
19,41,119,1,2015-11-02
19,41,129,1,2016-07-02
19,41,149,1,2015-09-02
19,41,129,1,2016-04-02
19,41,0,1,2015-05-02
19,41,149,1,2015-03-02
20,40,149,1,2016-10-01
20,40,149,1,2015-11-01
20,40,149,1,2015-03-01
20,40,149,1,2016-08-01
20,40,149,1,2016-09-01
20,40,149,1,2015-10-01
20,40,149,1,2015-02-01
20,40,149,1,2017-01-01
20,40,0,1,2015-05-01
20,40,149,1,2015-09-01
20,40,149,1,2016-12-01
20,40,149,1,2016-04-07
20,40,149,1,2015-12-01
20,40,149,1,2016-02-01
20,40,149,1,2016-11-01
20,40,149,1,2017-02-01
20,40,149,1,2015-07-01
20,40,149,1,2015-04-01
20,40,149,1,2015-08-01
20,40,149,1,2015-01-01
21,38,894,0,2016-03-28
21,38,477,0,2016-10-11
21,38,149,0,2015-06-27
21,38,149,0,2015-01-24
21,38,149,0,2015-03-28
21,38,149,0,2015-02-24
21,38,0,0,2015-04-26
21,38,149,0,2015-08-29
21,38,0,0,2015-12-26
21,38,149,0,2016-01-26
21,38,149,0,2015-07-28
21,38,149,0,2015-10-28
21,38,149,0,2015-11-28
21,38,0,0,2015-12-26
21,38,149,0,2015-09-22
21,38,149,0,2016-02-26
21,38,149,0,2015-05-27
21,38,0,0,2015-12-26
22,40,149,1,2016-01-28
22,40,149,1,2015-08-28
22,40,149,1,2015-06-28
22,40,149,1,2015-12-28
22,40,149,1,2016-06-28
22,40,149,1,2016-08-28
22,40,0,1,2015-04-28
22,40,149,1,2015-09-28
22,40,149,1,2016-03-28
22,40,149,1,2015-05-28
22,40,149,1,2015-10-28
22,40,149,1,2016-02-28
22,40,149,1,2015-07-28
22,40,149,1,2016-07-28
22,40,149,1,2016-04-28
22,40,149,1,2016-09-28
22,40,149,1,2016-05-28
22,40,149,1,2016-10-28
22,40,149,1,2015-11-28
22,40,149,1,2016-11-28
22,40,149,1,2017-01-28
22,40,149,1,2016-12-28
23,39,149,1,2016-07-31
23,39,149,1,2016-10-31
23,39,149,1,2015-09-30
23,39,149,1,2016-12-31
23,39,149,1,2015-03-31
23,39,0,1,2015-04-30
23,39,149,1,2015-05-31
23,39,149,1,2017-01-31
23,39,149,1,2016-11-30
23,39,149,1,2017-02-13
23,39,149,1,2015-07-31
23,39,149,1,2015-02-28
23,39,149,1,2016-08-31
23,39,149,1,2015-08-31
23,39,149,1,2015-12-02
23,39,149,1,2016-01-31
23,39,149,1,2016-09-30
23,39,149,1,2015-06-30
23,39,149,1,2015-11-02
23,39,149,1,2015-01-31
24,36,180,0,2017-01-11
24,35,0,0,2016-11-13
24,36,150,0,2015-04-12
24,35,0,0,2015-06-07
24,36,180,0,2016-07-23
24,36,150,0,2015-12-24
24,36,180,0,2017-02-18
24,36,180,0,2016-05-28
25,36,180,0,2017-01-19
26,34,149,1,2016-02-29
26,34,149,1,2016-12-31
26,34,149,1,2016-09-30
26,34,0,1,2015-09-30
26,34,149,1,2016-06-30
26,34,149,1,2015-11-30
26,34,0,1,2015-03-31
26,34,149,1,2017-01-31
26,34,149,1,2016-11-30
26,34,149,1,2016-03-31
26,34,0,1,2015-07-31
26,34,149,1,2016-01-31
26,34,149,1,2016-05-31
26,34,0,1,2015-08-31
26,34,0,1,2015-10-31
26,34,0,1,2015-06-30
26,34,149,1,2016-04-30
26,34,149,1,2016-07-31
26,34,149,1,2016-08-31
26,34,149,1,2016-10-31
26,34,149,1,2015-12-31
27,30,149,1,2015-11-27
27,30,149,1,2016-02-27
27,30,149,1,2016-03-27
27,30,149,1,2016-07-27
27,30,149,1,2015-02-26
27,30,149,1,2015-09-27
27,30,149,1,2015-07-27
27,30,149,1,2016-08-27
27,30,149,1,2015-06-27
27,30,149,1,2016-12-27
27,30,149,1,2016-06-27
27,30,149,1,2016-09-27
27,30,149,1,2015-03-27
27,30,149,1,2016-11-27
27,30,149,1,2016-01-27
27,30,149,1,2016-05-27
27,30,149,1,2016-10-27
27,30,149,1,2015-08-27
27,30,149,1,2016-04-27
27,30,149,1,2015-01-26
